iter	Passed	Remaining
0	3	387
1	7	355
2	10	326
3	13	313
4	15	298
5	18	291
6	21	282
7	23	274
8	26	267
9	29	261
10	31	256
11	34	255
12	37	251
13	40	249
14	43	245
15	46	242
16	48	237
17	51	235
18	54	232
19	57	229
20	60	225
21	62	222
22	65	218
23	68	215
24	70	212
25	73	209
26	76	206
27	78	202
28	81	198
29	83	195
30	86	192
31	89	189
32	91	186
33	94	183
34	97	180
35	99	177
36	102	174
37	105	172
38	108	169
39	110	166
40	113	163
41	116	160
42	119	158
43	122	156
44	125	153
45	128	150
46	130	147
47	133	144
48	136	141
49	139	139
50	142	136
51	144	133
52	147	131
53	150	128
54	153	125
55	156	122
56	158	119
57	161	116
58	163	113
59	166	111
60	169	108
61	172	105
62	175	102
63	178	100
64	180	97
65	183	94
66	186	91
67	189	88
68	191	86
69	194	83
70	197	80
71	199	77
72	201	74
73	204	71
74	208	69
75	210	66
76	213	63
77	215	60
78	218	58
79	220	55
80	223	52
81	226	49
82	228	46
83	231	44
84	234	41
85	236	38
86	239	35
87	242	33
88	244	30
89	247	27
90	250	24
91	252	21
92	255	19
93	258	16
94	261	13
95	263	10
96	266	8
97	269	5
98	272	2
99	274	0
